PersonID,Name,EmploymentHistory,Gender,Generation,Age,Multiple Doctoral Degrees,Multiple Master's Degrees,Multiple Bachelor's Degrees,Doctorate Area of Study,Pathway,Years in Presidency,Provost or Dean,Sector,Size Category,Research Expenses Per FTE,Endowment Value Per FTE,Carnegie Classification,Land Grant,president
333,"Lehmann, Daniel ",Y,Male,Millennials,40-49,No,Yes,Yes,Not available,Traveler,7-10,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$10K - $100K,Special Focus Four-Year: Faith-Related Institutions,Not a Land Grant Institution,University Presidents
334,"Panken, Aaron ",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Medical,Traveler,0-3,Dean,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$100K+,Special Focus Four-Year: Faith-Related Institutions,Not a Land Grant Institution,University Presidents
335," Huntington, Robert H.",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traveler,Not available,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
337,"Jones, Glendell ",Y,Male,Generation X,40-49,No,Yes,Yes,Not available,Traditionalist,4-6,Provost,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
338,"Tsutsui, William M. ",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Social Science,Traditionalist,0-3,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
341," Bassett, John",Y,Male,Not available,Not available,Yes,Yes,Yes,Arts/Humanities,Traditionalist,7-10,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
342,"Keim,  Howard ",Y,Male,Not available,Not available,Yes,Yes,Yes,Other Applied,Traveler,11-15,Provost,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$10K - $100K,Not available,Not a Land Grant Institution,University Presidents
343,"Qubein, Nido R. ",Y,Male,Baby Boomers,60-69,No,Yes,Yes,Not available,Traveler,11-15,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
344," Bermingham, Jack",Y,Male,Not available,Not available,Yes,No,No,Social Science,Traditionalist,11-15,Not available,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$0K - $.1K,Baccalaureate/Associate's Colleges: Associate's Dominant,Not a Land Grant Institution,University Presidents
346,"Arnn, Larry P.",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Social Science,Traveler,15+,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$100K+,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
349,"Tricoli, Robin J. ",Y,Female,Not available,Not available,No,No,No,Not available,Traditionalist,4-6,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$10K - $100K,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,Not a Land Grant Institution,University Presidents
